s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT"
 1.0100191E+002, 2.0172172E-001, 2.0753608E-001, 1.4240910E-005, 3.7933270E-003, 6.8558289E+001, 3.4691573E+001, 1.4487321E+002, 2.4324852E-004, 2.4324852E-004, 1.0324883E-002
 1.0200245E+002, 2.0170519E-001, 2.0752451E-001, 1.4281261E-005, 3.8029802E-003, 6.8915436E+001, 3.7587332E+001, 1.4937556E+002, 2.4186072E-004, 2.4186072E-004, 1.0524532E-002
 1.0300409E+002, 2.0145261E-001, 2.0751314E-001, 1.4898045E-005, 3.9505366E-003, 7.0872593E+001, 3.7934062E+001, 1.5167848E+002, 2.4360417E-004, 2.4360417E-004, 1.0723619E-002
 1.0400869E+002, 2.0128292E-001, 2.0749932E-001, 1.5312395E-005, 4.0496636E-003, 7.1029909E+001, 3.9273159E+001, 1.5005645E+002, 2.4455272E-004, 2.4455272E-004, 1.0922907E-002
 1.0501166E+002, 2.0128075E-001, 2.0748682E-001, 1.5317714E-005, 4.0509362E-003, 7.0459645E+001, 4.0570073E+001, 1.5296013E+002, 2.4896004E-004, 2.4896004E-004, 1.1126630E-002
 1.0600450E+002, 2.0112498E-001, 2.0748402E-001, 1.5698070E-005, 4.1419306E-003, 7.1939016E+001, 3.8480919E+001, 1.5310926E+002, 2.5199172E-004, 2.5199172E-004, 1.1330339E-002
 1.0700146E+002, 2.0082279E-001, 2.0749119E-001, 1.6435988E-005, 4.3184666E-003, 7.3941943E+001, 3.8588802E+001, 1.5686044E+002, 2.5643342E-004, 2.5643342E-004, 1.1536295E-002
 1.0801224E+002, 2.0077242E-001, 2.0750211E-001, 1.6559002E-005, 4.3478958E-003, 7.3176869E+001, 3.7476327E+001, 1.5784411E+002, 2.5257930E-004, 2.5257930E-004, 1.1742979E-002
 1.0901010E+002, 2.0054311E-001, 2.0751118E-001, 1.7118980E-005, 4.4818622E-003, 7.4152705E+001, 3.8626643E+001, 1.5950091E+002, 2.5904850E-004, 2.5904850E-004, 1.1951612E-002
 1.1000991E+002, 2.0022197E-001, 2.0751412E-001, 1.7903133E-005, 4.6694589E-003, 7.7062224E+001, 3.9666011E+001, 1.6303016E+002, 2.5964496E-004, 2.5964496E-004, 1.2161781E-002
 1.1101273E+002, 2.0016595E-001, 2.0750275E-001, 1.8039938E-005, 4.7021876E-003, 7.7409917E+001, 3.9546238E+001, 1.6589145E+002, 2.6050391E-004, 2.6050391E-004, 1.2373863E-002
 1.1200811E+002, 2.0023351E-001, 2.0746610E-001, 1.7874986E-005, 4.6627252E-003, 7.6355072E+001, 3.9936940E+001, 1.6845126E+002, 2.6760175E-004, 2.6760175E-004, 1.2586548E-002
 1.1300436E+002, 2.0018632E-001, 2.0741864E-001, 1.7990202E-005, 4.6902890E-003, 7.6297801E+001, 4.1992840E+001, 1.7001748E+002, 2.6489075E-004, 2.6489075E-004, 1.2799415E-002
 1.1400989E+002, 2.0003956E-001, 2.0739381E-001, 1.8348593E-005, 4.7760288E-003, 7.7332389E+001, 4.3595413E+001, 1.7405950E+002, 2.7030785E-004, 2.7030785E-004, 1.3017940E-002
 1.1500696E+002, 1.9976059E-001, 2.0739602E-001, 1.9029763E-005, 4.9389884E-003, 8.0163971E+001, 4.5094550E+001, 1.7526690E+002, 2.7503379E-004, 2.7503379E-004, 1.3237662E-002
 1.1600979E+002, 1.9974689E-001, 2.0740776E-001, 1.9063221E-005, 4.9469926E-003, 8.0305646E+001, 4.6168441E+001, 1.7674733E+002, 2.7555485E-004, 2.7555485E-004, 1.3458079E-002
 1.1700551E+002, 1.9950830E-001, 2.0740920E-001, 1.9645746E-005, 5.0863529E-003, 8.2531767E+001, 4.5083931E+001, 1.7586853E+002, 2.7809704E-004, 2.7809704E-004, 1.3675042E-002
 1.1800538E+002, 1.9944894E-001, 2.0739246E-001, 1.9790711E-005, 5.1210338E-003, 8.2868013E+001, 4.4385539E+001, 1.7883935E+002, 2.7770313E-004, 2.7770313E-004, 1.3895773E-002
 1.1900190E+002, 1.9948066E-001, 2.0736504E-001, 1.9713292E-005, 5.1025123E-003, 8.2401024E+001, 4.3972339E+001, 1.8747614E+002, 2.8648684E-004, 2.8648684E-004, 1.4123896E-002
